"method","n","mean_accuracy","sd_accuracy","mean_prob_accuracy","sd_prob_accuracy","mean_accuracy_down","sd_accuracy_down","mean_prob_accuracy_down","sd_prob_accuracy_down","mean_tree_size","sd_tree_size","min_tree_size","max_tree_size"
"ACE",980,0.989548398502242,0.0140442488790697,0.985212944740934,0.0131988192371317,0.326577346723138,0.0342531452786562,0.325181711536435,0.0344033465454226,229.161224489796,22.1974270502527,159,303
"PastML",980,0.983413382823216,0.0249941120576056,0.909932128243633,0.0335487215812847,0.324551696285597,0.0346987297256607,0.300641425856165,0.0361516373859598,229.161224489796,22.1974270502527,159,303
"SAASI",980,0.985047099833977,0.0149526856281945,0.965445710409181,0.0145390823189475,0.325121939248068,0.0344485963752616,0.318734541755003,0.034538770926484,229.161224489796,22.1974270502527,159,303
"SAASI_pars",980,0.982170487174765,0.0175245778291183,0.972852528355126,0.0165456763031893,0.324182705361345,0.0345410586830702,0.321200726835367,0.0350465048683727,229.161224489796,22.1974270502527,159,303
"SIMMAP",980,0.989488342119672,0.0144268050413623,0.985271927869449,0.0135999771390912,0.326564552267801,0.0343210143154549,0.325205370342695,0.0344508561897192,229.161224489796,22.1974270502527,159,303
"TreeTime_1.0",980,0.98396117796471,0.0207829249948528,0.963347140352292,0.0278970787807234,0.32472165920333,0.0343379592198549,0.318039620290103,0.035279096941088,229.161224489796,22.1974270502527,159,303
