"method","Median","Mean","SD","Min","Max","Q25","Q75","IQR"
"SAASI",0.9359,0.9344,0.0209,0.8388,0.9826,0.9206,0.9496,0.029
"SAASI_pars",0.9205,0.9196,0.0228,0.8421,0.9775,0.9056,0.9357,0.0301
"TreeTime_1.0",0.7285,0.7067,0.1345,0.2957,0.9595,0.6115,0.8141,0.2026
"SIMMAP",0.675,0.6696,0.0976,0.2939,0.9279,0.6022,0.7424,0.1402
"PastML",0.6667,0.6637,0.1075,0.1264,0.9459,0.5927,0.7464,0.1537
"ACE",0.6427,0.6411,0.1028,0.3026,0.9368,0.5685,0.713,0.1444
