"method","n","mean_accuracy","sd_accuracy","mean_prob_accuracy","sd_prob_accuracy","mean_accuracy_down","sd_accuracy_down","mean_prob_accuracy_down","sd_prob_accuracy_down","mean_tree_size","sd_tree_size","min_tree_size","max_tree_size"
"ACE",963,0.988490493902237,0.00855820468026831,0.983572652443944,0.00831483330926901,0.577549599228359,0.0327282576130004,0.574719524154685,0.03328258210935,611.205607476635,40.9329263450344,481,749
"PastML",963,0.979700947851425,0.0154251194452519,0.927168623279105,0.0304056693953505,0.572449376984217,0.0339061030428635,0.541746603725724,0.0353356740473395,611.205607476635,40.9329263450344,481,749
"SAASI",963,0.98330440653008,0.00924460952655254,0.967647586420282,0.00922783851765169,0.574548764787213,0.0331081081624839,0.56545258041607,0.033475443755697,611.205607476635,40.9329263450344,481,749
"SAASI_pars",963,0.980696911153558,0.0110041979303009,0.970868343477822,0.0111763606966157,0.573061425980849,0.0338061025375532,0.567381960385711,0.0345472049393944,611.205607476635,40.9329263450344,481,749
"SIMMAP",963,0.988413278757051,0.00865120089800245,0.983557601008826,0.00838580331628474,0.577507034423976,0.0327739542502114,0.574712980473479,0.0333233300148324,611.205607476635,40.9329263450344,481,749
"TreeTime_1.0",963,0.985130949485731,0.0115438659454529,0.971906672418464,0.017247189602786,0.575586214577372,0.0329327926806632,0.567912905691215,0.0342340861502792,611.205607476635,40.9329263450344,481,749
