"simulation","method","accuracy","prob_accuracy","tree_size"
105,"TreeTime_Custom",0.822393822393822,0.793318317570964,519
106,"ACE",0.592,0.602266385710929,501
106,"SIMMAP",0.656,0.62852,501
106,"SAASI",0.928,0.912983726337642,501
106,"SAASI_pars",0.928,0.841912929069424,501
106,"PastML",0.74,0.664678463539977,501
106,"TreeTime_1.0",0.644,0.63565139076951,501
106,"TreeTime_Custom",0.572,0.592514918065516,501
107,"ACE",0.787755102040816,0.718900526422568,491
107,"SIMMAP",0.836734693877551,0.747918367346939,491
107,"SAASI",0.951020408163265,0.932193545999791,491
107,"SAASI_pars",0.942857142857143,0.862935340223144,491
107,"PastML",0.795918367346939,0.726028655762352,491
107,"TreeTime_1.0",0.873469387755102,0.835959816154665,491
107,"TreeTime_Custom",0.828571428571429,0.834154333714728,491
108,"ACE",0.642857142857143,0.608947612792027,421
108,"SIMMAP",0.695238095238095,0.634761904761905,421
108,"SAASI",0.961904761904762,0.933788562698325,421
108,"SAASI_pars",0.942857142857143,0.81386869369265,421
108,"PastML",0.657142857142857,0.609669808764128,421
108,"TreeTime_1.0",0.666666666666667,0.645637314827779,421
108,"TreeTime_Custom",0.685714285714286,0.676897797640219,421
109,"ACE",0.624505928853755,0.614161662084484,507
109,"SIMMAP",0.624505928853755,0.621343873517787,507
109,"SAASI",0.932806324110672,0.902771004740532,507
109,"SAASI_pars",0.905138339920949,0.846879016694859,507
109,"PastML",0.66403162055336,0.631677498489436,507
109,"TreeTime_1.0",0.628458498023715,0.616731334031609,507
109,"TreeTime_Custom",0.588932806324111,0.599618731298763,507
11,"ACE",0.631578947368421,0.570813411686067,457
11,"SIMMAP",0.697368421052632,0.57859649122807,457
11,"SAASI",0.960526315789474,0.935363836408074,457
11,"SAASI_pars",0.960526315789474,0.763517274879757,457
11,"PastML",0.56578947368421,0.560852300250548,457
11,"TreeTime_1.0",0.820175438596491,0.72738458219369,457
11,"TreeTime_Custom",0.837719298245614,0.769112591791756,457
110,"ACE",0.511210762331839,0.526141078539704,447
110,"SIMMAP",0.542600896860987,0.552511210762332,447
110,"SAASI",0.923766816143498,0.898062983363939,447
110,"SAASI_pars",0.905829596412556,0.838763735509949,447
110,"PastML",0.596412556053812,0.590325402191138,447
110,"TreeTime_1.0",0.565022421524664,0.575060966170714,447
110,"TreeTime_Custom",0.547085201793722,0.554649031998745,447
111,"ACE",0.565693430656934,0.566771609363107,549
111,"SIMMAP",0.587591240875912,0.570912408759124,549
111,"SAASI",0.91970802919708,0.896404914141465,549
111,"SAASI_pars",0.908759124087591,0.814070123975006,549
111,"PastML",0.653284671532847,0.60258585478401,549
111,"TreeTime_1.0",0.68978102189781,0.671235765769006,549
111,"TreeTime_Custom",0.675182481751825,0.651678453671394,549
112,"ACE",0.577868852459016,0.582659003880704,489
112,"SIMMAP",0.598360655737705,0.594385245901639,489
112,"SAASI",0.950819672131147,0.917698936877525,489
112,"SAASI_pars",0.922131147540984,0.799282636196795,489
112,"PastML",0.561475409836066,0.58059323261872,489
112,"TreeTime_1.0",0.663934426229508,0.638663601561153,489
112,"TreeTime_Custom",0.663934426229508,0.636075223573191,489
