"method","Median","Mean","SD","Min","Max","Q25","Q75","IQR"
"SAASI",0.9469,0.9458,0.0115,0.8947,0.9733,0.9387,0.9539,0.0152
"SAASI_pars",0.9136,0.9125,0.0178,0.8401,0.9553,0.9009,0.9256,0.0247
"TreeTime_1.0",0.9109,0.9066,0.0352,0.735,0.9737,0.8876,0.9331,0.0456
"SIMMAP",0.8894,0.886,0.029,0.759,0.9486,0.8688,0.907,0.0382
"ACE",0.888,0.8847,0.0297,0.738,0.9492,0.8674,0.9058,0.0384
"PastML",0.8307,0.833,0.0441,0.7079,0.9623,0.8037,0.8608,0.0571
