"simulation","method","accuracy","prob_accuracy","tree_size"
128,"TreeTime_1.0",0.98034398034398,0.948104335129083,815
128,"TreeTime_Custom",0.982800982800983,0.956641208184423,815
129,"ACE",0.941048034934498,0.896052588775125,917
129,"SIMMAP",0.949781659388646,0.896419213973799,917
129,"SAASI",0.971615720524017,0.952151384912598,917
129,"SAASI_pars",0.958515283842795,0.91720723152488,917
129,"PastML",0.923580786026201,0.840517912166812,917
129,"TreeTime_1.0",0.95414847161572,0.912537768205934,917
129,"TreeTime_Custom",0.956331877729258,0.925326372460122,917
13,"ACE",0.954198473282443,0.91074975893679,787
13,"SIMMAP",0.954198473282443,0.90852417302799,787
13,"SAASI",0.964376590330789,0.94760048023033,787
13,"SAASI_pars",0.961832061068702,0.927634285178817,787
13,"PastML",0.913486005089059,0.866215279738381,787
13,"TreeTime_1.0",0.959287531806616,0.944886122263685,787
13,"TreeTime_Custom",0.954198473282443,0.94794527978882,787
130,"ACE",0.892307692307692,0.83698455616616,781
130,"SIMMAP",0.91025641025641,0.84674358974359,781
130,"SAASI",0.969230769230769,0.947611198479475,781
130,"SAASI_pars",0.951282051282051,0.896754954982298,781
130,"PastML",0.825641025641026,0.758222562318932,781
130,"TreeTime_1.0",0.861538461538462,0.802651733149068,781
130,"TreeTime_Custom",0.856410256410256,0.823819744979561,781
131,"ACE",0.828947368421053,0.792308429921252,913
131,"SIMMAP",0.842105263157895,0.799144736842105,913
131,"SAASI",0.93859649122807,0.922578730134638,913
131,"SAASI_pars",0.93859649122807,0.871493352992785,913
131,"PastML",0.804824561403509,0.7586735510015,913
131,"TreeTime_1.0",0.820175438596491,0.783586939856214,913
131,"TreeTime_Custom",0.828947368421053,0.800073610003207,913
132,"ACE",0.966587112171838,0.916669050835103,839
132,"SIMMAP",0.959427207637232,0.921599045346062,839
132,"SAASI",0.98090692124105,0.964096915387104,839
132,"SAASI_pars",0.973747016706444,0.94531316156607,839
132,"PastML",0.871121718377088,0.815708793785101,839
132,"TreeTime_1.0",0.9618138424821,0.93008518137992,839
132,"TreeTime_Custom",0.964200477326969,0.937391835226604,839
133,"ACE",0.949308755760369,0.895997078474384,869
133,"SIMMAP",0.953917050691244,0.899009216589862,869
133,"SAASI",0.972350230414747,0.955769494944977,869
133,"SAASI_pars",0.972350230414747,0.919989425709769,869
133,"PastML",0.935483870967742,0.851032419651366,869
133,"TreeTime_1.0",0.965437788018433,0.951766177745918,869
133,"TreeTime_Custom",0.967741935483871,0.955508419148464,869
134,"ACE",0.947698744769874,0.892302656333816,957
134,"SIMMAP",0.947698744769874,0.891799163179916,957
134,"SAASI",0.947698744769874,0.931127539021926,957
134,"SAASI_pars",0.951882845188284,0.908945621116927,957
134,"PastML",0.937238493723849,0.881244961219058,957
134,"TreeTime_1.0",0.951882845188284,0.926897252170734,957
134,"TreeTime_Custom",0.951882845188284,0.935084161094429,957
135,"ACE",0.949760765550239,0.899640696849518,837
135,"SIMMAP",0.949760765550239,0.900047846889952,837
135,"SAASI",0.961722488038278,0.94574775882577,837
135,"SAASI_pars",0.956937799043062,0.918217347344098,837
135,"PastML",0.87799043062201,0.807038502937305,837
135,"TreeTime_1.0",0.944976076555024,0.892135216490439,837
135,"TreeTime_Custom",0.947368421052632,0.911205102873209,837
136,"ACE",0.882075471698113,0.822081802066101,849
136,"SIMMAP",0.891509433962264,0.82061320754717,849
136,"SAASI",0.945754716981132,0.927019984085719,849
