"method","Median","Mean","SD","Min","Max","Q25","Q75","IQR"
"ACE",0.9754,0.9744,0.0082,0.9426,0.9935,0.9695,0.9804,0.011
"SIMMAP",0.9753,0.9745,0.0083,0.9414,0.9938,0.9697,0.9806,0.011
"TreeTime_1.0",0.9746,0.9735,0.0094,0.9398,0.995,0.9679,0.9802,0.0124
"PastML",0.9644,0.9623,0.0144,0.8993,0.9928,0.9542,0.9726,0.0184
"SAASI",0.9624,0.9618,0.0086,0.9293,0.9797,0.9567,0.968,0.0113
"SAASI_pars",0.9601,0.9593,0.0105,0.9202,0.9844,0.9531,0.9668,0.0137
