"method","Median","Mean","SD","Min","Max","Q25","Q75","IQR"
"SAASI",0.9645,0.9635,0.0118,0.9111,0.9908,0.956,0.972,0.016
"SAASI_pars",0.9553,0.9536,0.0135,0.9062,0.9844,0.9443,0.9633,0.0189
"TreeTime_1.0",0.9468,0.9415,0.0284,0.7772,0.9906,0.927,0.9625,0.0355
"SIMMAP",0.936,0.9334,0.0258,0.7986,0.9906,0.9183,0.9518,0.0335
"ACE",0.9351,0.9324,0.0264,0.7995,0.9882,0.9175,0.9515,0.034
"PastML",0.9109,0.9056,0.0368,0.7262,0.978,0.8839,0.9318,0.0478
