"method","Median","Mean","SD","Min","Max","Q25","Q75","IQR"
"ACE",0.9838,0.9827,0.0078,0.9518,1,0.9779,0.9884,0.0105
"SIMMAP",0.9836,0.9826,0.0078,0.9493,1,0.9781,0.9882,0.0101
"TreeTime_1.0",0.9835,0.9823,0.008,0.9492,1,0.9774,0.9883,0.0109
"PastML",0.981,0.9794,0.0094,0.9322,0.9986,0.9739,0.9861,0.0122
"SAASI",0.9776,0.9767,0.0085,0.9447,0.9955,0.9715,0.9828,0.0113
"SAASI_pars",0.9741,0.9729,0.0095,0.9313,0.994,0.9667,0.9797,0.013
